epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.84,1.53758,3.33739,1.11906,0.02191,0.16905,0.05136,0.03628,1.38344,3.77109,0.97887,0.000363212,0.000363212,0.000363212
2,383.008,1.42063,1.78087,1.0395,0.43988,0.31677,0.323,0.18761,1.40488,2.15915,0.99183,0.000719021,0.000719021,0.000719021
3,570.67,1.28592,1.28197,0.99996,0.43941,0.47631,0.40499,0.23492,1.34286,1.64951,0.97777,0.00106016,0.00106016,0.00106016
4,755.296,1.25043,1.16385,0.98908,0.51763,0.48686,0.47075,0.28826,1.31829,1.65356,0.97529,0.00104501,0.00104501,0.00104501
5,935.046,1.17063,1.08494,0.96982,0.48671,0.48103,0.44476,0.26566,1.31706,1.54899,0.99369,0.00102301,0.00102301,0.00102301
6,1116.82,1.14861,1.02628,0.95894,0.53838,0.50255,0.50318,0.31734,1.22363,1.3732,0.95437,0.00100101,0.00100101,0.00100101
7,1296.9,1.11244,0.98741,0.94999,0.59646,0.48137,0.5256,0.34042,1.17494,1.3416,0.93937,0.000979013,0.000979013,0.000979013
8,1478.52,1.10421,0.95998,0.94596,0.55686,0.49312,0.51679,0.32577,1.22575,1.42976,0.95061,0.000957015,0.000957015,0.000957015
9,1658.36,1.09384,0.94874,0.94365,0.57488,0.5262,0.55209,0.34873,1.19252,1.36196,0.93927,0.000935018,0.000935018,0.000935018
10,1841.83,1.06925,0.91103,0.93427,0.62001,0.49233,0.53657,0.34452,1.18602,1.27871,0.94908,0.00091302,0.00091302,0.00091302
11,2022.01,1.05069,0.88661,0.9325,0.51193,0.5397,0.55115,0.3563,1.16593,1.31707,0.93819,0.000891022,0.000891022,0.000891022
12,2190.23,1.05541,0.8882,0.92981,0.59967,0.51847,0.5527,0.35824,1.19841,1.30585,0.94415,0.000869024,0.000869024,0.000869024
13,2368.29,1.04498,0.87121,0.92897,0.6433,0.53958,0.58574,0.37617,1.18748,1.3606,0.93939,0.000847026,0.000847026,0.000847026
14,2550.9,1.04474,0.86332,0.92653,0.62872,0.52437,0.57781,0.37678,1.18008,1.31294,0.94641,0.000825029,0.000825029,0.000825029
15,2725.55,1.0216,0.84113,0.92592,0.63012,0.53718,0.58189,0.37527,1.18498,1.19606,0.94395,0.000803031,0.000803031,0.000803031
16,2901.89,1.03966,0.83276,0.9235,0.63168,0.54735,0.58962,0.37642,1.17877,1.26823,0.93999,0.000781033,0.000781033,0.000781033
