epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,3089.7,1.0107,0.81884,0.91357,0.61199,0.53997,0.58617,0.38009,1.12637,1.21677,0.9225,0.000759035,0.000759035,0.000759035
18,3262.79,0.99633,0.8113,0.91682,0.64645,0.58176,0.61318,0.40203,1.12002,1.13745,0.92624,0.000737037,0.000737037,0.000737037
19,3440.84,1.00345,0.81076,0.91595,0.6719,0.55826,0.60675,0.39828,1.14237,1.17911,0.93183,0.00071504,0.00071504,0.00071504
20,3620.4,1.00142,0.79659,0.91303,0.6183,0.59233,0.60687,0.39804,1.1155,1.18658,0.92327,0.000693042,0.000693042,0.000693042
21,3803.91,0.98476,0.7849,0.90983,0.65749,0.56768,0.61125,0.40685,1.12672,1.1574,0.92789,0.000671044,0.000671044,0.000671044
22,3976.63,0.9891,0.78773,0.91229,0.64595,0.58354,0.61481,0.40498,1.12122,1.1933,0.93165,0.000649046,0.000649046,0.000649046
23,4158.62,0.96645,0.77096,0.90809,0.6767,0.60814,0.62526,0.41265,1.11891,1.13435,0.92863,0.000627048,0.000627048,0.000627048
24,4342.51,0.96643,0.77037,0.90693,0.62329,0.57414,0.59707,0.38895,1.11668,1.15162,0.92415,0.000605051,0.000605051,0.000605051
25,4525.38,0.96309,0.76834,0.9067,0.66215,0.5872,0.62392,0.41448,1.09846,1.15314,0.92093,0.000583053,0.000583053,0.000583053
26,4702.84,0.97593,0.77076,0.90546,0.67425,0.57996,0.62266,0.40958,1.10248,1.12874,0.92203,0.000561055,0.000561055,0.000561055
27,4877.48,0.94884,0.7477,0.90312,0.672,0.58921,0.6312,0.4253,1.08699,1.11784,0.92136,0.000539057,0.000539057,0.000539057
28,5049.85,0.95016,0.75038,0.90344,0.66527,0.58982,0.6263,0.40931,1.10856,1.14436,0.92451,0.000517059,0.000517059,0.000517059
29,5225.6,0.94332,0.74329,0.90083,0.69218,0.58971,0.6498,0.42885,1.08771,1.08032,0.91639,0.000495062,0.000495062,0.000495062
30,5399.1,0.94789,0.73809,0.89947,0.66904,0.5769,0.62266,0.41448,1.09224,1.09366,0.91775,0.000473064,0.000473064,0.000473064
31,5578.2,0.94694,0.74002,0.90088,0.64238,0.60449,0.62818,0.41206,1.10723,1.11834,0.92362,0.000451066,0.000451066,0.000451066
32,5747.21,0.94153,0.73641,0.89996,0.67532,0.60204,0.63749,0.42657,1.08389,1.07877,0.91539,0.000429068,0.000429068,0.000429068
33,5924.42,0.92974,0.72658,0.89738,0.67714,0.61018,0.65094,0.43283,1.0734,1.12455,0.91425,0.00040707,0.00040707,0.00040707
34,6107.59,0.92643,0.72709,0.89778,0.68303,0.61297,0.65033,0.43689,1.10503,1.08551,0.92016,0.000385073,0.000385073,0.000385073
35,6284.34,0.93349,0.72219,0.89463,0.67916,0.6228,0.65644,0.44305,1.06861,1.06438,0.91207,0.000363075,0.000363075,0.000363075
36,6455.48,0.92302,0.72174,0.89152,0.68243,0.5994,0.65012,0.43004,1.06792,1.10243,0.9126,0.000341077,0.000341077,0.000341077
37,6632.6,0.92142,0.70903,0.89199,0.67413,0.61212,0.65196,0.43863,1.07212,1.08544,0.90893,0.000319079,0.000319079,0.000319079
38,6812.86,0.9256,0.70861,0.89182,0.6845,0.61098,0.65268,0.43557,1.07694,1.06868,0.9115,0.000297081,0.000297081,0.000297081
39,6984.39,0.91067,0.70313,0.89212,0.66483,0.59765,0.6374,0.42675,1.07673,1.06517,0.91001,0.000275084,0.000275084,0.000275084
40,7164.27,0.91419,0.70619,0.89189,0.6838,0.60033,0.63647,0.4245,1.11112,1.13794,0.92206,0.000253086,0.000253086,0.000253086
41,7323.16,0.89851,0.72296,0.88903,0.66205,0.59046,0.63738,0.42479,1.10774,1.09733,0.91984,0.000231088,0.000231088,0.000231088
42,7453.22,0.88004,0.68909,0.88265,0.6644,0.60045,0.62758,0.412,1.16745,1.15154,0.93063,0.00020909,0.00020909,0.00020909
43,7575.67,0.87172,0.68301,0.88157,0.64972,0.63429,0.64585,0.43546,1.0803,1.07692,0.90904,0.000187092,0.000187092,0.000187092
44,7699.78,0.87269,0.67896,0.8805,0.70186,0.6014,0.65311,0.43487,1.10025,1.08545,0.91027,0.000165095,0.000165095,0.000165095
45,7808.13,0.86736,0.67292,0.8735,0.68874,0.61993,0.66222,0.44424,1.06948,1.04366,0.90846,0.000143097,0.000143097,0.000143097
46,7920.28,0.85428,0.65958,0.87711,0.67269,0.63306,0.64971,0.43545,1.08625,1.07569,0.91471,0.000121099,0.000121099,0.000121099
47,8040.21,0.85079,0.66178,0.87443,0.70001,0.60398,0.65158,0.4347,1.10956,1.09624,0.92342,9.91012e-05,9.91012e-05,9.91012e-05
48,8167.04,0.84155,0.65636,0.87408,0.66465,0.61216,0.65201,0.44015,1.09597,1.07818,0.92175,7.71034e-05,7.71034e-05,7.71034e-05
49,8290.02,0.85289,0.65792,0.87261,0.67151,0.61086,0.64463,0.4316,1.09303,1.07489,0.91899,5.51056e-05,5.51056e-05,5.51056e-05
50,8402.03,0.8358,0.64533,0.8736,0.68903,0.61272,0.65229,0.43776,1.09129,1.07412,0.91881,3.31078e-05,3.31078e-05,3.31078e-05
