epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.227,1.5376,3.60857,1.19269,0.0367,0.16714,0.05748,0.04271,1.38196,3.70182,1.00672,0.000325,0.000325,0.000325
2,210.131,1.45365,2.57375,1.0599,0.08437,0.2214,0.14874,0.09934,1.35111,3.30787,1.02552,0.000649382,0.000649382,0.000649382
3,308.738,1.41478,1.67048,1.03955,0.55918,0.26542,0.32508,0.18361,1.3732,1.79597,1.02862,0.0009604,0.0009604,0.0009604
4,407.79,1.32176,1.2801,1.01524,0.4166,0.40233,0.40215,0.22377,1.29996,1.24776,1.01359,0.00117575,0.00117575,0.00117575
5,506.373,1.26749,1.15586,0.99818,0.5155,0.48342,0.46152,0.26397,1.13733,1.11163,0.97153,0.001151,0.001151,0.001151
6,609.948,1.18331,1.06146,0.97466,0.49583,0.49484,0.47438,0.27768,1.13304,1.10194,0.96378,0.00112625,0.00112625,0.00112625
7,709.432,1.13679,1.00956,0.9623,0.51086,0.54094,0.50616,0.31309,1.07288,1.06259,0.94785,0.0011015,0.0011015,0.0011015
8,805.088,1.12184,0.98344,0.95705,0.51418,0.52453,0.51501,0.32535,1.05078,0.98124,0.93978,0.00107675,0.00107675,0.00107675
9,899.371,1.07447,0.93302,0.95205,0.53419,0.54197,0.5571,0.35938,1.05627,0.92784,0.93579,0.001052,0.001052,0.001052
10,998.343,1.08415,0.92097,0.94421,0.53658,0.53416,0.51389,0.32417,1.05403,1.01989,0.93332,0.00102725,0.00102725,0.00102725
11,1095.23,1.05959,0.89479,0.93963,0.60802,0.53726,0.57637,0.37633,1.0395,0.92692,0.9357,0.0010025,0.0010025,0.0010025
12,1189.21,1.04402,0.88189,0.93883,0.60726,0.54032,0.59061,0.38696,1.0126,0.97385,0.93123,0.00097775,0.00097775,0.00097775
13,1287.15,1.02785,0.85505,0.93498,0.66606,0.5625,0.61214,0.40303,1.01252,0.86375,0.9267,0.000953,0.000953,0.000953
14,1384.39,1.03948,0.85618,0.93589,0.65396,0.56827,0.61095,0.39158,0.98113,0.8435,0.91729,0.00092825,0.00092825,0.00092825
15,1482.51,1.01532,0.83575,0.93012,0.67341,0.54764,0.60787,0.4034,0.99258,0.84978,0.92255,0.0009035,0.0009035,0.0009035
16,1580.09,1.01317,0.81975,0.92686,0.6243,0.56453,0.60154,0.39602,0.99561,0.84839,0.92441,0.00087875,0.00087875,0.00087875
17,1675.14,0.98891,0.80702,0.92358,0.67887,0.53399,0.61075,0.41159,0.96362,0.81064,0.91911,0.000854,0.000854,0.000854
18,1770.88,0.98507,0.79455,0.92066,0.67609,0.56232,0.62318,0.41637,0.96119,0.79806,0.91491,0.00082925,0.00082925,0.00082925
19,1872.37,0.97468,0.7963,0.92428,0.70138,0.55457,0.64018,0.42075,0.96134,0.8031,0.91807,0.0008045,0.0008045,0.0008045
20,1966.99,0.97178,0.77812,0.91916,0.69803,0.53434,0.61525,0.413,0.97014,0.78965,0.92005,0.00077975,0.00077975,0.00077975
21,2066.77,0.96676,0.77545,0.91994,0.67651,0.59104,0.62833,0.42004,0.94988,0.7968,0.91664,0.000755,0.000755,0.000755
22,2165.92,0.96079,0.77385,0.91821,0.68208,0.5478,0.63451,0.42337,0.95893,0.78013,0.91161,0.00073025,0.00073025,0.00073025
23,2262.33,0.97139,0.76584,0.91554,0.74751,0.58129,0.67112,0.45193,0.94444,0.78149,0.9075,0.0007055,0.0007055,0.0007055
24,2354.34,0.94118,0.74765,0.91346,0.68851,0.60798,0.66938,0.44578,0.9372,0.7684,0.90794,0.00068075,0.00068075,0.00068075
25,2456.57,0.94772,0.74315,0.91073,0.69835,0.60122,0.6459,0.43052,0.91906,0.75075,0.90536,0.000656,0.000656,0.000656
26,2556.24,0.94088,0.74682,0.91053,0.71413,0.57569,0.64146,0.44125,0.9156,0.74766,0.90591,0.00063125,0.00063125,0.00063125
27,2652.6,0.92314,0.72879,0.90895,0.66677,0.58014,0.63614,0.42936,0.91363,0.73829,0.90417,0.0006065,0.0006065,0.0006065
28,2748.78,0.92859,0.72505,0.90736,0.71983,0.61116,0.67373,0.45394,0.92125,0.75894,0.90818,0.00058175,0.00058175,0.00058175
29,2845.49,0.93553,0.72185,0.90735,0.68939,0.61992,0.6666,0.44948,0.90655,0.72886,0.90475,0.000557,0.000557,0.000557
30,2946.01,0.93422,0.72132,0.90615,0.71896,0.57827,0.66867,0.45833,0.91179,0.72504,0.90267,0.00053225,0.00053225,0.00053225
31,3042.9,0.92923,0.72482,0.90754,0.70085,0.61184,0.66942,0.45698,0.90235,0.72048,0.90078,0.0005075,0.0005075,0.0005075
32,3137.07,0.92042,0.71093,0.90318,0.67117,0.63471,0.66655,0.4574,0.89788,0.73041,0.90372,0.00048275,0.00048275,0.00048275
33,3236.12,0.91724,0.70933,0.90242,0.70179,0.64724,0.69414,0.47733,0.89086,0.72586,0.9002,0.000458,0.000458,0.000458
34,3336.41,0.91012,0.70649,0.90256,0.69262,0.63878,0.68796,0.46991,0.91256,0.71646,0.9044,0.00043325,0.00043325,0.00043325
35,3431.98,0.90268,0.70265,0.90279,0.67321,0.63982,0.66922,0.46717,0.88743,0.72129,0.90202,0.0004085,0.0004085,0.0004085
36,3530.09,0.92183,0.70689,0.90115,0.70934,0.60062,0.67682,0.46247,0.90879,0.71623,0.90455,0.00038375,0.00038375,0.00038375
37,3628.33,0.90771,0.69594,0.89972,0.68274,0.62385,0.67375,0.46337,0.90059,0.70217,0.90147,0.000359,0.000359,0.000359
38,3728.48,0.89679,0.6968,0.9011,0.72101,0.62906,0.68914,0.47289,0.90201,0.71482,0.90481,0.00033425,0.00033425,0.00033425
39,3826.63,0.89671,0.68437,0.89749,0.71368,0.62921,0.68926,0.47545,0.88615,0.69022,0.90031,0.0003095,0.0003095,0.0003095
40,3923.22,0.89449,0.67792,0.89671,0.6987,0.61306,0.67385,0.46845,0.90211,0.71857,0.90068,0.00028475,0.00028475,0.00028475
41,4017.23,0.88128,0.77424,0.90273,0.66465,0.57771,0.6271,0.43481,0.94232,0.79541,0.91744,0.00026,0.00026,0.00026
42,4079.04,0.86172,0.70343,0.89421,0.68166,0.61997,0.64738,0.43658,0.91902,0.77377,0.90874,0.00023525,0.00023525,0.00023525
43,4140.41,0.84804,0.68165,0.89078,0.7024,0.64516,0.67177,0.45733,0.91197,0.74169,0.90579,0.0002105,0.0002105,0.0002105
44,4201.12,0.84254,0.67111,0.88855,0.66783,0.6663,0.67187,0.46394,0.90403,0.74021,0.90257,0.00018575,0.00018575,0.00018575
45,4262.26,0.83522,0.6589,0.88568,0.71796,0.64838,0.69604,0.48736,0.89172,0.71864,0.89856,0.000161,0.000161,0.000161
46,4324.98,0.82754,0.65449,0.88496,0.70367,0.6243,0.68884,0.4764,0.88864,0.7095,0.89787,0.00013625,0.00013625,0.00013625
47,4387.69,0.82231,0.64483,0.8806,0.68079,0.64713,0.68957,0.4823,0.88208,0.69938,0.89677,0.0001115,0.0001115,0.0001115
48,4447.68,0.82258,0.64682,0.88188,0.70856,0.62423,0.69608,0.48561,0.87734,0.69893,0.89586,8.675e-05,8.675e-05,8.675e-05
49,4507.37,0.81452,0.63672,0.88223,0.68709,0.65237,0.69361,0.48677,0.87731,0.69075,0.89572,6.2e-05,6.2e-05,6.2e-05
50,4568.82,0.82239,0.63699,0.87734,0.71166,0.61405,0.68963,0.48123,0.88054,0.69599,0.89527,3.725e-05,3.725e-05,3.725e-05
