epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.494,1.53543,3.72183,1.18311,0.05925,0.14678,0.05443,0.03781,1.43522,3.81055,1.03309,0.00031108,0.00031108,0.00031108
2,253.456,1.45849,2.66311,1.05898,0.11035,0.22335,0.15321,0.11153,1.34753,3.3914,1.02118,0.000620731,0.000620731,0.000620731
3,365.891,1.41157,1.75201,1.04125,0.56869,0.20482,0.29111,0.1621,1.43348,2.04578,1.06024,0.000917624,0.000917624,0.000917624
