epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2878.81,0.89501,0.66987,0.90466,0.79792,0.77135,0.83507,0.59374,0.89383,0.68862,0.91052,0.0009704,0.0009704,0.0009704
28,2986.76,0.89048,0.65242,0.90282,0.81133,0.79804,0.84411,0.6158,0.86965,0.61533,0.91193,0.0009308,0.0009308,0.0009308
29,3091.13,0.88806,0.65318,0.90041,0.78739,0.76771,0.82755,0.60904,0.85779,0.61776,0.9009,0.0008912,0.0008912,0.0008912
30,3194.8,0.87896,0.65145,0.89784,0.82077,0.79096,0.84731,0.6186,0.86028,0.60888,0.89811,0.0008516,0.0008516,0.0008516
31,3291.46,0.88111,0.65437,0.90041,0.78318,0.77347,0.81131,0.57893,0.88716,0.79413,0.91007,0.000812,0.000812,0.000812
32,3389.1,0.87737,0.65515,0.89613,0.78189,0.76644,0.81585,0.58083,0.87197,0.6834,0.90832,0.0007724,0.0007724,0.0007724
33,3489.08,0.87371,0.64801,0.89609,0.80383,0.80231,0.83965,0.6168,0.84537,0.59855,0.89665,0.0007328,0.0007328,0.0007328
34,3587.61,0.86715,0.62216,0.89516,0.81415,0.7991,0.84456,0.61662,0.85634,0.5926,0.89943,0.0006932,0.0006932,0.0006932
35,3682.57,0.85963,0.63064,0.89681,0.8072,0.79372,0.84426,0.61005,0.86401,0.66766,0.90181,0.0006536,0.0006536,0.0006536
36,3780.06,0.87372,0.63757,0.89472,0.76942,0.77711,0.81605,0.56006,0.9141,0.78583,0.9172,0.000614,0.000614,0.000614
37,3874.44,0.86059,0.62928,0.8922,0.77992,0.79163,0.81941,0.58912,0.85247,0.64566,0.89796,0.0005744,0.0005744,0.0005744
38,3969.1,0.84919,0.61249,0.89213,0.78497,0.7817,0.83141,0.60526,0.85423,0.65107,0.89694,0.0005348,0.0005348,0.0005348
39,4065.47,0.85047,0.62991,0.88986,0.81676,0.7908,0.84289,0.61699,0.83789,0.59782,0.89408,0.0004952,0.0004952,0.0004952
40,4160.83,0.84643,0.60685,0.88925,0.79722,0.80444,0.84574,0.62705,0.82748,0.58014,0.89027,0.0004556,0.0004556,0.0004556
41,4232.44,0.84257,0.71474,0.89794,0.80709,0.7646,0.82364,0.60436,0.85659,0.68341,0.89701,0.000416,0.000416,0.000416
42,4292.87,0.82533,0.63568,0.89012,0.7932,0.78858,0.83442,0.60601,0.85589,0.6538,0.89717,0.0003764,0.0003764,0.0003764
43,4352.64,0.81444,0.62005,0.88602,0.82998,0.79462,0.8524,0.62803,0.84326,0.59365,0.89472,0.0003368,0.0003368,0.0003368
44,4416.13,0.80614,0.61392,0.88235,0.75269,0.78037,0.81613,0.57581,0.85723,0.8283,0.89818,0.0002972,0.0002972,0.0002972
45,4474.05,0.80163,0.60052,0.88008,0.7494,0.75854,0.8151,0.58084,0.84432,0.73939,0.89531,0.0002576,0.0002576,0.0002576
46,4534.53,0.78914,0.5936,0.88032,0.8145,0.80188,0.8524,0.6339,0.81555,0.58043,0.8888,0.000218,0.000218,0.000218
47,4639.3,0.78824,0.57637,0.87692,0.80075,0.80478,0.84558,0.624,0.8158,0.60007,0.88702,0.0001784,0.0001784,0.0001784
48,4696.34,0.78872,0.57944,0.87837,0.79232,0.78679,0.83068,0.61125,0.81492,0.64646,0.88767,0.0001388,0.0001388,0.0001388
49,4755.83,0.77942,0.55786,0.87737,0.79882,0.80636,0.84664,0.62914,0.8039,0.59533,0.88537,9.92e-05,9.92e-05,9.92e-05
50,4813.77,0.78213,0.55266,0.87253,0.79528,0.7991,0.83601,0.61926,0.81171,0.63418,0.88742,5.96e-05,5.96e-05,5.96e-05
