epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.688,1.50621,2.7699,1.1481,0.14649,0.70367,0.25668,0.16189,1.30867,2.96568,0.9886,0.00052,0.00052,0.00052
2,253.617,1.39253,1.47887,1.0315,0.3581,0.48762,0.46669,0.29888,1.29214,2.21588,0.99731,0.00103901,0.00103901,0.00103901
3,370.427,1.26526,1.03246,1.00555,0.7404,0.66716,0.72436,0.43328,1.27935,1.0566,1.01497,0.00153664,0.00153664,0.00153664
4,487.087,1.18902,0.9157,0.98221,0.76473,0.72725,0.77368,0.50802,1.11115,0.86829,0.96241,0.0018812,0.0018812,0.0018812
5,648.764,1.14888,0.87888,0.96981,0.77905,0.72115,0.77522,0.49391,1.14619,0.83719,0.96978,0.0018416,0.0018416,0.0018416
6,769.625,1.11161,0.85289,0.96438,0.78195,0.73653,0.79757,0.5341,1.06058,0.81399,0.94822,0.001802,0.001802,0.001802
7,876.52,1.07214,0.82637,0.95359,0.80135,0.72861,0.7931,0.53092,1.05872,0.82367,0.9478,0.0017624,0.0017624,0.0017624
8,984.19,1.04868,0.8191,0.9444,0.79723,0.73079,0.79566,0.55023,1.01746,0.76654,0.93826,0.0017228,0.0017228,0.0017228
9,1095.58,1.03812,0.79793,0.94807,0.80735,0.75128,0.81328,0.55812,1.00003,0.76915,0.92954,0.0016832,0.0016832,0.0016832
10,1196.48,1.04163,0.77164,0.94206,0.8097,0.76751,0.82095,0.55946,1.00428,0.7333,0.93044,0.0016436,0.0016436,0.0016436
11,1298.26,1.02316,0.74764,0.93697,0.81253,0.74744,0.82279,0.57317,0.9841,0.69838,0.92729,0.001604,0.001604,0.001604
12,1401.37,0.99386,0.77411,0.93088,0.77135,0.77278,0.81955,0.57949,0.93571,0.69975,0.91958,0.0015644,0.0015644,0.0015644
13,1501.49,0.9753,0.75206,0.92628,0.81325,0.75587,0.82097,0.57609,0.94602,0.68374,0.92788,0.0015248,0.0015248,0.0015248
14,1600.83,0.96622,0.7395,0.92481,0.81638,0.74703,0.81903,0.57716,0.94427,0.67638,0.91905,0.0014852,0.0014852,0.0014852
15,1700.41,0.96042,0.7192,0.92084,0.81041,0.74833,0.82332,0.58001,0.95058,0.70024,0.92309,0.0014456,0.0014456,0.0014456
16,1804.09,0.96872,0.71687,0.92335,0.81247,0.76366,0.8184,0.57309,0.95616,0.69182,0.91921,0.001406,0.001406,0.001406
17,1900.37,0.96129,0.72409,0.92205,0.80847,0.76421,0.83084,0.58835,0.92905,0.67563,0.91174,0.0013664,0.0013664,0.0013664
18,1999.29,0.94673,0.721,0.91467,0.82662,0.77092,0.82968,0.59327,0.90758,0.64683,0.91046,0.0013268,0.0013268,0.0013268
19,2099.14,0.92386,0.70127,0.91558,0.81573,0.78352,0.83141,0.59384,0.89729,0.64664,0.90533,0.0012872,0.0012872,0.0012872
20,2199.6,0.92365,0.67618,0.91055,0.81096,0.79039,0.83712,0.59985,0.88946,0.63187,0.9054,0.0012476,0.0012476,0.0012476
21,2293.51,0.91333,0.69234,0.91151,0.804,0.79254,0.83561,0.602,0.88539,0.64324,0.90369,0.001208,0.001208,0.001208
22,2391.06,0.90138,0.68867,0.90743,0.8063,0.79713,0.84309,0.6009,0.90075,0.64524,0.91082,0.0011684,0.0011684,0.0011684
23,2490.35,0.91857,0.6897,0.9051,0.79888,0.79056,0.8384,0.59777,0.90655,0.6495,0.91475,0.0011288,0.0011288,0.0011288
24,2585.17,0.89256,0.68554,0.90662,0.81459,0.79334,0.83599,0.59283,0.8995,0.64752,0.91058,0.0010892,0.0010892,0.0010892
25,2686.58,0.89572,0.67763,0.90305,0.8029,0.77837,0.82629,0.58808,0.89737,0.7034,0.90424,0.0010496,0.0010496,0.0010496
26,2784.16,0.90207,0.68927,0.90576,0.81223,0.79227,0.8354,0.59271,0.88516,0.6538,0.90323,0.00101,0.00101,0.00101
